DateTime;KM_SW_FR_Summe [liter];BM_SW_FR_Summe [liter];__WNW150_Summe [mm];BG_SW_FR_Summe [mm];KG_SW_FR_Summe [mm]
19.10.22 17:00:05;0;0;0;0,1;0,1
19.10.22 17:10:06;0;0;0;0,1;0,1
19.10.22 17:20:05;0;0;0;0,1;0,1
19.10.22 17:30:05;0;0;0;0,1;0,1
19.10.22 17:40:05;0;0;0;0,1;0,1
19.10.22 17:50:05;0;0;0;0,1;0,1
19.10.22 18:00:05;0;0;0;0,1;0,1
19.10.22 18:10:05;0;0;0;0,1;0,1
19.10.22 18:20:05;0;0;0;0,1;0,1
19.10.22 18:30:05;0;0;0;0,1;0,1
19.10.22 18:40:05;0;0;0;0,1;0,1
19.10.22 18:50:05;0;0;0;0,1;0,1
19.10.22 19:00:05;0;0;0;0,1;0,1
19.10.22 19:10:05;0;0;0;0,1;0,1
19.10.22 19:20:05;0;0;0;0,1;0,1
19.10.22 19:30:05;0;0;0;0,1;0,1
19.10.22 19:40:05;0;0;0;0,1;0,1
19.10.22 19:50:05;0;0;0;0,1;0,1
19.10.22 20:00:05;0;0;0;0,1;0,1
19.10.22 20:10:05;0;0;0;0,1;0,1
19.10.22 20:20:05;0;0;0;0,1;0,1
19.10.22 20:30:05;0;0;0;0,1;0,1
19.10.22 20:40:06;0;0;0;0,1;0,1
19.10.22 20:50:05;0;0;0;0,1;0,1
19.10.22 21:00:05;0;0;0;0,1;0,1
19.10.22 21:10:05;0;0;0;0,1;0,1
19.10.22 21:20:05;0;0;0;0,1;0,1
19.10.22 21:30:05;0;0;0;0,1;0,1
19.10.22 21:40:05;0;0;0;0,1;0,1
19.10.22 21:50:05;0;0;0;0,1;0,1
19.10.22 22:00:05;0;0;0;0,1;0,1
19.10.22 22:10:05;0;0;0;0,1;0,1
19.10.22 22:20:05;0;0;0;0,1;0,1
19.10.22 22:30:05;0;0;0;0,1;0,1
19.10.22 22:40:05;0;0;0;0,1;0,1
19.10.22 22:50:05;0;0;0;0,1;0,1
19.10.22 23:00:05;0;0;0;0,1;0,1
19.10.22 23:10:05;0;0;0;0,1;0,1
19.10.22 23:20:05;0;0;0;0,1;0,1
19.10.22 23:30:05;0;0;0;0,1;0,1
19.10.22 23:40:05;0;0;0;0,1;0,1
19.10.22 23:50:05;0;0;0;0,1;0,1
20.10.22 00:00:05;0;0;0;0,1;0,1
